District,Restaurant_Name,Class,Vibe / Specialty,Approx. Range (LKR),Best Time,Night/Day/Evening
Matara,PLAN B Weligama,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,NOMAD Café,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,Fish Point Weligama,Budget,Seafood Specialties,500-1500,Lunch/Dinner,Day/Evening
Matara,Dulnetha,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Matara,Rise,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,Pizza Hub (Weligama),Budget,Italian Wood-Fired Pizza,500-1500,Lunch/Dinner,Day/Evening
Matara,Ceylon Sliders,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,Plantation Surf inn's Restaurant (Family Kitchen),Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,Shirani Home Made Rice & Curry,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Matara,Rotti shop weligama,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Matara,Wild Beach Cafe Food And Drinks,Budget,Café & Brunch,500-1500,Lunch/Dinner,Day/Evening
Matara,Crazy Burger restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,360 Madiha - Restaurants and Hotels,Normal,Hotel Restaurant Dining,1500-4000,Lunch/Dinner,Day/Evening
Matara,MAMA ROMA,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Hambantota,Bojunhala (Hambantota),Normal,Buffet Dining Experience,1500-4000,Lunch/Dinner,Day/Evening
Hambantota,Nonagama Village,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Ruhunu Resort,Normal,Hotel Restaurant Dining,1500-4000,Lunch/Dinner,Day/Evening
Hambantota,Ulpatha,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Sera,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Jade Green Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Hambantota,C-Face Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Hambantota,Pela Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Hambantota,Smoky Kitchen (Tissamaharama),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Chef Lady Restaurant (Tissamaharama),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,The flavors restaurant (Tissamaharama),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Yala Peace Cottage Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Red Restaurant (Tissamaharama),Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Hambantota,Hathmaluwa Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Smoothie-Bun Yala - Tissamaharama,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Refresh Restaurant (Hambantota),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Kuma Restaurant (Hambantota),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Tangalle/ Hambantota Rest House Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Hambantota,Saffron Restaurant (Hambantota),Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Hambantota,Jade Green Restaurant (2),Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Magnolia (All Day Dining),Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Grand Indian,Normal,South Indian Cuisine,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Cafe Noshers,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Grand Thai,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,The Grand Café,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Chill Ramboda,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,The Sackville,High Class,Tourist Café & Western Food,4000-10000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Barnes Hall,High Class,Rooftop / Lounge Dining,4000-10000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Themparadu,Budget,Tourist Café & Western Food,500-1500,Lunch/Dinner,Day/Evening
Nuwara Eliya,Salmiya,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Indian Summer Restaurant Nuwara Eliya,Normal,South Indian Cuisine,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Grand Dewasiri Seafood Restaurant,Normal,Seafood Specialties,1500-4000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Hill Club Restaurant,High Class,Tourist Café & Western Food,4000-10000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Milano Restaurant,Budget,Tourist Café & Western Food,500-1500,Lunch/Dinner,Day/Evening
Nuwara Eliya,Coffee Bar (Nuwara Eliya),Budget,Café & Brunch,500-1500,Lunch/Dinner,Day/Evening
Nuwara Eliya,The Tea Lounge (Heritance Tea Factory),High Class,Rooftop / Lounge Dining,4000-10000,Lunch/Dinner,Day/Evening
Nuwara Eliya,St. Andrew's Hotel Old Course Restaurant,High Class,Hotel Restaurant Dining,4000-10000,Lunch/Dinner,Day/Evening
Nuwara Eliya,Ayurveda Coffee Shop (Nuwara Eliya),Budget,Café & Brunch,500-1500,Lunch/Dinner,Day/Evening
Nuwara Eliya,Hela Bojun Hala (Nuwara Eliya),Budget,Buffet Dining Experience,500-1500,Lunch/Dinner,Day/Evening
Nuwara Eliya,Sri Ambaal (Nuwara Eliya),Budget,Tourist Café & Western Food,500-1500,Lunch/Dinner,Day/Evening
Badulla (Ella),Cafe Chill,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),Matey Hut Ella Sri Lanka,Budget,Tourist Café & Western Food,500-1500,Lunch/Dinner,Day/Evening
Badulla (Ella),Cafe UFO,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),Dream Cafe Ella,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),AK Ristoro,Normal,Italian Wood-Fired Pizza,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),The Barn By Starbeans,Normal,Rooftop / Lounge Dining,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),Kane Ella,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),The Kitchen Garden,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),Ella Village Restaurant,Budget,Tourist Café & Western Food,500-1500,Lunch/Dinner,Day/Evening
Badulla (Ella),Cafe One Love,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),Rainbow Cafe,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),Fish & Chips Restaurant and Rotti Hut,Budget,Seafood Specialties,500-1500,Lunch/Dinner,Day/Evening
Badulla (Ella),Cafe Umbrella,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),The Green Door Cafe,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),The Plate by Flower Garden,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),N2 Restaurant,Budget,Tourist Café & Western Food,500-1500,Lunch/Dinner,Day/Evening
Badulla (Ella),360 Ella,Normal,Tourist Café & Western Food,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),One Love Cafe,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Badulla (Ella),Ravana Heights Restaurant,High Class,Tourist Café & Western Food,4000-10000,Lunch/Dinner,Day/Evening
Badulla (Ella),Ella Spice Garden Cooking (food),Budget,Tourist Café & Western Food,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Little Paradise Anuradhapura,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Palhena Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Bro Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Mango Mango,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Hotel Shalini Restaurant,Budget,Hotel Restaurant Dining,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Walkers,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Seedevi's Family Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Hudo Lounge,Normal,Rooftop / Lounge Dining,1500-4000,Lunch/Dinner,Day/Evening
Anuradhapura,Rasa Gedara,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Milano Tourist Rest,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Coconut Grove Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Anuradhapura,Lab Cookery,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Seedevi Family Restaurant (2),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Heritage Hotel Restaurant (Anuradhapura),High Class,Hotel Restaurant Dining,4000-10000,Lunch/Dinner,Day/Evening
Anuradhapura,Grand Crown Hotel Restaurant,High Class,Hotel Restaurant Dining,4000-10000,Lunch/Dinner,Day/Evening
Anuradhapura,Palm Garden Village Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Anuradhapura,The Lakeside Restaurant (Anuradhapura),Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Anuradhapura,Lanka Restaurant (Anuradhapura),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Anuradhapura,Salgado Hotel Restaurant,Normal,Hotel Restaurant Dining,1500-4000,Lunch/Dinner,Day/Evening
Anuradhapura,The Rock Restaurant (Anuradhapura),Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Polonnaruwa,Priyamali Gedara,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Jaga Food,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Rasa Bojun Gedara,Budget,Buffet Dining Experience,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Gami Gedara,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Dine Time Family Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,KFC Polonnaruwa,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Dineth Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Wishma Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Polonnaruwa,Hwa Hwa Eating House,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Sudu Araliya Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Polonnaruwa,Hotel Mahanuge Restaurant,Budget,Hotel Restaurant Dining,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Devi Tourist Home Dining Room,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Midland Diner,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Sunrise Restaurant (Polonnaruwa),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Thisara Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,The Lake House (Polonnaruwa),Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Polonnaruwa,Seyara Holiday Resort Restaurant,Normal,Hotel Restaurant Dining,1500-4000,Lunch/Dinner,Day/Evening
Polonnaruwa,Ruins Chaaya Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Polonnaruwa,Binara Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Polonnaruwa,Delight Restaurant (Polonnaruwa),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Cafe on the 18th,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,Be Cool Juice Bar & Sea Food Restaurant,Budget,Seafood Specialties,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Trinco Lanka Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Ubay Seafood Restaurant,Budget,Seafood Specialties,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Dutch Bank Cafe,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,Rea Beach Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,Rice 'n' Curry (Trincomalee),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Ocean Oasis Restaurant And Rooms,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,La Bashi Restaurant and Cafe,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,Capital Trincomalee,Normal,Italian Wood-Fired Pizza,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,Annapoorani Vegetarian Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Elegant Green Seafood & Italian Beach Restaurant,Normal,Seafood Specialties,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,Your Choice Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,7 to 11 Restaurant (Trincomalee),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Chamee Sea Food & Chinese Restaurant,Normal,Seafood Specialties,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,White house resort & seafood restaurant,Normal,Seafood Specialties,1500-4000,Lunch/Dinner,Day/Evening
Trincomalee,Laila Hotel Spot,Budget,Hotel Restaurant Dining,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Geeth Me,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Hybrid Family Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Trincomalee,Fernando’s Beach Market (food stalls),Budget,Street Food Experience,500-1500,Lunch/Dinner,Day/Evening
